identifier,utcOffset,abbreviation
Asia/Istanbul,+03:00,+03
Asia/Jakarta,+07:00,WIB
Asia/Jayapura,+09:00,WIT
Asia/Jerusalem,+02:00,IST
Asia/Kabul,+04:30,+0430
Asia/Kamchatka,+12:00,+12
Asia/Karachi,+05:00,PKT
Asia/Kashgar,+06:00,+06
Asia/Kathmandu,+05:45,+0545
Asia/Katmandu,+05:45,+0545
Asia/Khandyga,+09:00,+09
Asia/Kolkata,+05:30,IST
Asia/Krasnoyarsk,+07:00,+07
Asia/Kuala_Lumpur,+08:00,+08
Asia/Kuching,+08:00,+08
Asia/Kuwait,+03:00,+03
Asia/Macao,+08:00,CST
Asia/Macau,+08:00,CST
Asia/Magadan,+11:00,+11
Asia/Makassar,+08:00,WITA
Asia/Manila,+08:00,PST
Asia/Muscat,+04:00,+04
Asia/Nicosia,+02:00,EET
Asia/Novokuznetsk,+07:00,+07
Asia/Novosibirsk,+07:00,+07
Asia/Omsk,+06:00,+06
Asia/Oral,+05:00,+05
Asia/Phnom_Penh,+07:00,+07
Asia/Pontianak,+07:00,WIB
Asia/Pyongyang,+09:00,KST
Asia/Qatar,+03:00,+03
Asia/Qostanay,+05:00,+05
Asia/Qyzylorda,+05:00,+05
Asia/Rangoon,+06:30,+0630
Asia/Riyadh,+03:00,+03
Asia/Saigon,+07:00,+07
Asia/Sakhalin,+11:00,+11
Asia/Samarkand,+05:00,+05
Asia/Seoul,+09:00,KST
Asia/Shanghai,+08:00,CST
Asia/Singapore,+08:00,+08
Asia/Srednekolymsk,+11:00,+11
Asia/Taipei,+08:00,CST
Asia/Tashkent,+05:00,+05
Asia/Tbilisi,+04:00,+04
Asia/Tehran,+03:30,+0330
Asia/Tel_Aviv,+02:00,IST
Asia/Thimbu,+06:00,+06
Asia/Thimphu,+06:00,+06
Asia/Tokyo,+09:00,JST
Asia/Tomsk,+07:00,+07
Asia/Ujung_Pandang,+08:00,WITA
Asia/Ulaanbaatar,+08:00,+08
Asia/Ulan_Bator,+08:00,+08
Asia/Urumqi,+06:00,+06
Asia/Ust-Nera,+10:00,+10
Asia/Vientiane,+07:00,+07
Asia/Vladivostok,+10:00,+10
Asia/Yakutsk,+09:00,+09
Asia/Yangon,+06:30,+0630
Asia/Yekaterinburg,+05:00,+05
Asia/Yerevan,+04:00,+04
Atlantic/Azores,−01:00,-1
Atlantic/Bermuda,−04:00,AST
Atlantic/Canary,+00:00,WET
Atlantic/Cape_Verde,−01:00,-1
Atlantic/Faeroe,+00:00,WET
Atlantic/Faroe,+00:00,WET
Atlantic/Jan_Mayen,+01:00,CET
Atlantic/Madeira,+00:00,WET
Atlantic/Reykjavik,+00:00,GMT
Atlantic/South_Georgia,−02:00,-2
